Dataset,Epsilon,MSE,SSIM,Top1_Acc,Top5_Acc
MNIST,0.1,29345.587206632652,0.01919373011574477,10.0,48.0
MNIST,0.3,25829.748558673473,0.05861759242540827,10.0,46.0
MNIST,0.5,22773.03765306123,0.09668269194319683,10.0,47.0
MNIST,0.7,20112.97207908163,0.1332891998298396,10.0,48.0
MNIST,1.0,16784.362410714282,0.1852432311515431,10.0,48.5
MNIST,3.0,5709.233176020408,0.4378109231978812,17.5,72.5
MNIST,5.0,2507.5510714285715,0.5606553397628271,62.5,90.5
