Dataset,Epsilon,MSE,SSIM,Top1_Acc,Top5_Acc
AT&T,0.1,17646.150787353516,0.007213330946639097,2.5,11.25
AT&T,0.3,16289.42310180664,0.0115450785725396,2.5,15.0
AT&T,0.5,15027.853344726562,0.01881753679352653,2.5,12.5
AT&T,0.7,13917.953897094727,0.02465674133919691,2.5,12.5
AT&T,1.0,12390.378134155273,0.03412112774330444,2.5,12.5
AT&T,3.0,6184.577688598632,0.10709055942108078,2.5,15.0
AT&T,5.0,3480.9270141601564,0.18908687143359773,2.5,12.5
